sex,culture,PRACTICE_TRIAL_Response,INTRO_COMP_3,INTRO_COMP_3_fail_once,INTRO_COMP_3_fail_twice,INTRO_COMP_4,EXPLAIN_PART1_COMP_4,EXPLAIN_PART1_COMP_4_fail_once,EXPLAIN_PART2_COMP_8,EXPLAIN_PART2_COMP_8_fail_once,EXPLAIN_PART2_COMP_8_fail_twice,EXPLAIN_PART2_COMP_8_fail_thrice,EXPLAIN_PART2_COMP_9,EXPLAIN_PART2_COMP_9_fail_once,EXPLAIN_PART3_COMP_2,QUESTION_1,QUESTION_2,trial_1_setup,trial_1_meep_color,trial_1_meep_ethnicity,trial_2_setup,trial_2_meep_color,trial_2_meep_ethnicity,ppt_culture_color,group_side,first_hand_side,bead_side_demo,duration,trial,share,intra,age,age_group,pid
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,RED,BAYAKA,RIGHT,BLUE,BILO,RED,RIGHT,RIGHT,RIGHT,27M -17S,1,1,1,11.59589,11-12,200
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,RED,BAYAKA,RIGHT,BLUE,BILO,RED,RIGHT,RIGHT,RIGHT,27M -17S,2,0,0,11.59589,11-12,200
FEMALE,BAYAKA,1,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,RED,BAYAKA,RIGHT,BLUE,BILO,RED,RIGHT,LEFT,RIGHT,1H -33M -50S,1,0,1,69.175342,67+,169
FEMALE,BAYAKA,1,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,RED,BAYAKA,RIGHT,BLUE,BILO,RED,RIGHT,LEFT,RIGHT,1H -33M -50S,2,1,0,69.175342,67+,169
MALE,BAYAKA,1,pass,NA,NA,pass,pass,NA,fail,fail,pass,NA,pass,NA,pass,YES,YES,LEFT,RED,BAYAKA,LEFT,BLUE,BILO,RED,RIGHT,LEFT,LEFT,1H -30M 18S,1,1,1,11.09589,11-12,7
MALE,BAYAKA,1,pass,NA,NA,pass,pass,NA,fail,fail,pass,NA,pass,NA,pass,YES,YES,LEFT,RED,BAYAKA,LEFT,BLUE,BILO,RED,RIGHT,LEFT,LEFT,1H -30M 18S,2,1,0,11.09589,11-12,7
FEMALE,BAYAKA,1,pass,NA,NA,fail,pass,NA,pass,NA,NA,NA,pass,NA,pass,NO,NO,RIGHT,RED,BAYAKA,LEFT,BLUE,BILO,RED,LEFT,RIGHT,RIGHT,21M -14S,1,0,1,11,11-12,180
FEMALE,BAYAKA,1,pass,NA,NA,fail,pass,NA,pass,NA,NA,NA,pass,NA,pass,NO,NO,RIGHT,RED,BAYAKA,LEFT,BLUE,BILO,RED,LEFT,RIGHT,RIGHT,21M -14S,2,0,0,11,11-12,180
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,RED,BILO,LEFT,BLUE,BAYAKA,BLUE,RIGHT,LEFT,RIGHT,26M -13S,1,0,0,6,5-6,188
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,RED,BILO,LEFT,BLUE,BAYAKA,BLUE,RIGHT,LEFT,RIGHT,26M -13S,2,1,1,6,5-6,188
